"","domain_name","sequence_evalue"
"53","HISEQ01:561:D1DRUACXX:7:1106:14932:114196_1",3.6e-19
"54","HISEQ01:561:D1DRUACXX:7:1105:3202:15416_1",4.3e-19
"55","HISEQ01:561:D1DRUACXX:7:1107:12204:5608_1",4.3e-19
"56","HISEQ01:561:D1DRUACXX:7:1206:10458:100547_1",4.3e-19
"57","HISEQ01:561:D1DRUACXX:7:1105:4982:164158_1",4.3e-19
"58","HISEQ01:561:D1DRUACXX:7:1108:2362:110316_1",4.8e-19
"59","HISEQ01:561:D1DRUACXX:7:1108:16299:88189_1",4.9e-19
"60","HISEQ01:561:D1DRUACXX:7:1106:13106:176410_1",5.1e-19
"61","HISEQ01:561:D1DRUACXX:7:1104:14845:196574_1",5.3e-19
"62","HISEQ01:561:D1DRUACXX:7:1204:2414:185732_1",5.3e-19
"63","HISEQ01:561:D1DRUACXX:7:1107:7416:119329_1",5.3e-19
"64","HISEQ01:561:D1DRUACXX:7:1106:9182:43832_1",5.3e-19
"65","HISEQ01:561:D1DRUACXX:7:1107:7747:27851_1",5.3e-19
"66","HISEQ01:561:D1DRUACXX:7:1104:16644:169538_1",6e-19
"67","HISEQ01:561:D1DRUACXX:7:1106:16433:98041_1",6.1e-19
"68","HISEQ01:561:D1DRUACXX:7:1202:3107:67952_1",7e-19
"69","HISEQ01:561:D1DRUACXX:7:1203:17459:101179_1",7.1e-19
"70","HISEQ01:561:D1DRUACXX:7:1201:11922:151485_1",7.5e-19
"71","HISEQ01:561:D1DRUACXX:7:1201:19739:110049_1",7.6e-19
"72","HISEQ01:561:D1DRUACXX:7:1106:16915:19223_1",7.8e-19
"73","HISEQ01:561:D1DRUACXX:7:1102:11475:184094_1",8.7e-19
"74","HISEQ01:561:D1DRUACXX:7:1104:18032:67490_1",8.7e-19
"75","HISEQ01:561:D1DRUACXX:7:1104:4513:10825_1",9.3e-19
"76","HISEQ01:561:D1DRUACXX:7:1201:17889:56323_1",9.8e-19
"77","HISEQ01:561:D1DRUACXX:7:1103:3474:168752_1",1e-18
"78","HISEQ01:561:D1DRUACXX:7:1108:8859:132522_1",1e-18
"79","HISEQ01:561:D1DRUACXX:7:1108:7057:111593_1",1.1e-18
"80","HISEQ01:561:D1DRUACXX:7:1207:6114:19338_1",1.1e-18
"81","HISEQ01:561:D1DRUACXX:7:1108:16652:120035_1",1.1e-18
"82","HISEQ01:561:D1DRUACXX:7:1202:10254:18874_1",1.1e-18
"83","HISEQ01:561:D1DRUACXX:7:1108:19386:16626_1",1.1e-18
"84","HISEQ01:561:D1DRUACXX:7:1106:8306:117572_1",1.1e-18
"85","HISEQ01:561:D1DRUACXX:7:1201:13593:86819_1",1.1e-18
"86","HISEQ01:561:D1DRUACXX:7:1106:7261:189930_1",1.1e-18
"87","HISEQ01:561:D1DRUACXX:7:1101:13967:89844_1",1.1e-18
"88","HISEQ01:561:D1DRUACXX:7:1206:5951:73950_1",1.1e-18
"89","HISEQ01:561:D1DRUACXX:7:1203:13380:55817_1",1.1e-18
"90","HISEQ01:561:D1DRUACXX:7:1105:11257:4406_1",1.2e-18
"91","HISEQ01:561:D1DRUACXX:7:1102:16849:41598_1",1.2e-18
"92","HISEQ01:561:D1DRUACXX:7:1202:3170:80675_1",1.3e-18
"93","HISEQ01:561:D1DRUACXX:7:1103:5718:11675_1",1.3e-18
"94","HISEQ01:561:D1DRUACXX:7:1103:15740:97043_1",1.3e-18
"95","HISEQ01:561:D1DRUACXX:7:1201:11703:47785_1",1.3e-18
"96","HISEQ01:561:D1DRUACXX:7:1105:2249:23731_1",1.5e-18
"97","HISEQ01:561:D1DRUACXX:7:1104:14845:196574_1",1.5e-18
"98","HISEQ01:561:D1DRUACXX:7:1104:19232:10363_1",1.5e-18
"99","HISEQ01:561:D1DRUACXX:7:1108:11313:167165_1",1.5e-18
"100","HISEQ01:561:D1DRUACXX:7:1102:18034:84848_1",1.5e-18
"101","HISEQ01:561:D1DRUACXX:7:1107:8550:192423_1",1.5e-18
"102","HISEQ01:561:D1DRUACXX:7:1104:4133:79533_1",1.6e-18
"103","HISEQ01:561:D1DRUACXX:7:1204:19466:33835_1",1.6e-18
"104","HISEQ01:561:D1DRUACXX:7:1102:3250:70618_1",1.7e-18
"105","HISEQ01:561:D1DRUACXX:7:1103:9610:149790_1",1.7e-18
"106","HISEQ01:561:D1DRUACXX:7:1102:19153:23255_1",1.7e-18
"107","HISEQ01:561:D1DRUACXX:7:1202:7882:108937_1",1.7e-18
"108","HISEQ01:561:D1DRUACXX:7:1108:19583:166546_1",1.8e-18
"109","HISEQ01:561:D1DRUACXX:7:1204:12181:120019_1",1.8e-18
"110","HISEQ01:561:D1DRUACXX:7:1205:7506:123178_1",1.8e-18
"111","HISEQ01:561:D1DRUACXX:7:1108:8416:115230_1",1.8e-18
"112","HISEQ01:561:D1DRUACXX:7:1105:16398:41325_1",1.8e-18
"113","HISEQ01:561:D1DRUACXX:7:1202:4520:20483_1",2e-18
"114","HISEQ01:561:D1DRUACXX:7:1205:7095:195013_1",2.1e-18
"115","HISEQ01:561:D1DRUACXX:7:1104:5517:193331_1",2.1e-18
"116","HISEQ01:561:D1DRUACXX:7:1203:13325:94731_1",2.2e-18
"117","HISEQ01:561:D1DRUACXX:7:1204:11076:131788_1",2.2e-18
"118","HISEQ01:561:D1DRUACXX:7:1107:14312:83300_1",2.2e-18
"119","HISEQ01:561:D1DRUACXX:7:1204:19143:17060_1",2.2e-18
"120","HISEQ01:561:D1DRUACXX:7:1105:9935:95331_1",2.2e-18
"121","HISEQ01:561:D1DRUACXX:7:1201:10685:124162_1",2.2e-18
"122","HISEQ01:561:D1DRUACXX:7:1106:5626:79561_1",2.2e-18
"123","HISEQ01:561:D1DRUACXX:7:1107:17314:193699_1",2.2e-18
"124","HISEQ01:561:D1DRUACXX:7:1107:5142:67453_1",2.3e-18
"125","HISEQ01:561:D1DRUACXX:7:1108:3612:76549_1",2.3e-18
"126","HISEQ01:561:D1DRUACXX:7:1204:1362:139789_1",2.3e-18
