"","domain_name","sequence_evalue"
"30","HISEQ01:561:D1DRUACXX:7:1201:18039:89012_1",4.6e-15
"31","HISEQ01:561:D1DRUACXX:7:1201:6845:54282_1",5.1e-15
"32","HISEQ01:561:D1DRUACXX:7:1108:12024:99177_1",5.3e-15
"33","HISEQ01:561:D1DRUACXX:7:1103:20128:128834_1",5.3e-15
"34","HISEQ01:561:D1DRUACXX:7:1105:15777:66320_1",7e-15
"35","HISEQ01:561:D1DRUACXX:7:1108:4201:153449_1",8.8e-15
"36","HISEQ01:561:D1DRUACXX:7:1201:19067:59986_1",9e-15
"37","HISEQ01:561:D1DRUACXX:7:1101:10861:125561_1",9.8e-15
"38","HISEQ01:561:D1DRUACXX:7:1102:6153:31957_1",1.3e-14
"39","HISEQ01:561:D1DRUACXX:7:1206:12603:120402_1",1.3e-14
"40","HISEQ01:561:D1DRUACXX:7:1105:13008:70469_1",1.5e-14
"41","HISEQ01:561:D1DRUACXX:7:1104:19396:85120_1",1.6e-14
"42","HISEQ01:561:D1DRUACXX:7:1201:4100:108719_1",1.7e-14
"43","HISEQ01:561:D1DRUACXX:7:1202:8971:47799_1",2e-14
"44","HISEQ01:561:D1DRUACXX:7:1107:3577:92798_1",2.3e-14
"45","HISEQ01:561:D1DRUACXX:7:1102:6153:31957_1",2.6e-14
"46","HISEQ01:561:D1DRUACXX:7:1104:20536:153434_1",2.7e-14
"47","HISEQ01:561:D1DRUACXX:7:1108:15983:198984_1",3.4e-14
"48","HISEQ01:561:D1DRUACXX:7:1106:10390:132700_1",4.7e-14
"49","HISEQ01:561:D1DRUACXX:7:1104:13409:107420_1",5.9e-14
"50","HISEQ01:561:D1DRUACXX:7:1205:8119:39803_1",5.9e-14
"51","HISEQ01:561:D1DRUACXX:7:1102:4318:72843_1",7.4e-14
"52","HISEQ01:561:D1DRUACXX:7:1204:9512:48256_1",8.3e-14
"53","HISEQ01:561:D1DRUACXX:7:1203:2138:154888_1",8.6e-14
