"","domain_name","sequence_evalue"
"26","NS500302:312:HJHHTBGX5:4:13404:18179:9322_1:783481",1.2e-19
"27","NS500302:312:HJHHTBGX5:4:13408:23627:16584_1:788482",1.2e-19
"28","NS500302:312:HJHHTBGX5:4:11503:14773:12142_1:718719",1.4e-19
"29","NS500302:312:HJHHTBGX5:1:22101:6287:10317_1:161340",2.3e-19
"30","NS500302:312:HJHHTBGX5:1:13111:14641:9222_1:92266",2.3e-19
"31","NS500302:312:HJHHTBGX5:1:21108:21046:3968_1:128501",2.3e-19
"32","NS500302:312:HJHHTBGX5:1:21112:5198:17114_1:133913",2.3e-19
"33","NS500302:312:HJHHTBGX5:2:12307:24774:11240_1:315588",2.3e-19
"34","NS500302:312:HJHHTBGX5:2:13212:11014:4016_1:347527",2.3e-19
"35","NS500302:312:HJHHTBGX5:2:21202:16197:11046_1:377917",2.3e-19
"36","NS500302:312:HJHHTBGX5:2:23102:10031:11033_1:444983",2.3e-19
"37","NS500302:312:HJHHTBGX5:2:23202:25946:18283_1:458683",2.3e-19
"38","NS500302:312:HJHHTBGX5:3:11508:26753:13704_1:503514",2.3e-19
"39","NS500302:312:HJHHTBGX5:3:11509:1261:13668_1:504590",2.3e-19
"40","NS500302:312:HJHHTBGX5:3:12602:11648:10526_1:545805",2.3e-19
"41","NS500302:312:HJHHTBGX5:3:22407:20233:13444_1:635406",2.3e-19
"42","NS500302:312:HJHHTBGX5:4:11602:7203:4083_1:729980",2.3e-19
"43","NS500302:312:HJHHTBGX5:4:13401:25397:2334_1:779708",2.3e-19
"44","NS500302:312:HJHHTBGX5:4:11404:15618:16881_1:706413",3.8e-19
"45","NS500302:312:HJHHTBGX5:4:13502:10942:2614_1:794555",4.2e-19
"46","NS500302:312:HJHHTBGX5:1:11208:11630:6334_1:21790",6e-19
"47","NS500302:312:HJHHTBGX5:1:11211:15220:20010_1:25871",6e-19
"48","NS500302:312:HJHHTBGX5:1:12107:21713:12466_1:47382",6e-19
"49","NS500302:312:HJHHTBGX5:1:13112:14189:15423_1:93766",6e-19
"50","NS500302:312:HJHHTBGX5:1:13310:26223:3238_1:117120",6e-19
"51","NS500302:312:HJHHTBGX5:1:21302:1843:1794_1:149056",6e-19
"52","NS500302:312:HJHHTBGX5:1:23112:25709:13100_1:214164",6e-19
"53","NS500302:312:HJHHTBGX5:2:12107:7566:2653_1:288533",6e-19
"54","NS500302:312:HJHHTBGX5:2:13210:3712:9481_1:345625",6e-19
"55","NS500302:312:HJHHTBGX5:2:21301:4374:14225_1:390858",6e-19
"56","NS500302:312:HJHHTBGX5:3:11505:18161:14505_1:500382",6e-19
"57","NS500302:312:HJHHTBGX5:3:21508:20798:3241_1:611267",6e-19
"58","NS500302:312:HJHHTBGX5:3:22404:21182:10921_1:632368",6e-19
"59","NS500302:312:HJHHTBGX5:3:23401:11744:10967_1:666565",6e-19
"60","NS500302:312:HJHHTBGX5:4:13403:21069:11845_1:782480",6e-19
"61","NS500302:312:HJHHTBGX5:4:13609:6539:9262_1:814491",6e-19
"62","NS500302:312:HJHHTBGX5:4:21401:3644:2423_1:818254",6e-19
"63","NS500302:312:HJHHTBGX5:4:22509:2324:3738_1:879419",6e-19
"64","NS500302:312:HJHHTBGX5:4:22605:18194:17659_1:888758",6e-19
"65","NS500302:312:HJHHTBGX5:4:23501:15309:7897_1:910374",6e-19
"66","NS500302:312:HJHHTBGX5:1:23204:20523:1874_1:217971",7e-19
"67","NS500302:312:HJHHTBGX5:1:11201:21739:1744_1:13756",8.8e-19
"68","NS500302:312:HJHHTBGX5:1:23303:16902:19767_1:231158",8.8e-19
"69","NS500302:312:HJHHTBGX5:2:12104:5346:2762_1:285186",8.8e-19
"70","NS500302:312:HJHHTBGX5:2:12211:3095:2372_1:306020",8.8e-19
"71","NS500302:312:HJHHTBGX5:2:12301:21316:4307_1:308474",8.8e-19
"72","NS500302:312:HJHHTBGX5:3:11604:20019:20097_1:512025",8.8e-19
"73","NS500302:312:HJHHTBGX5:3:21501:26406:9476_1:604192",8.8e-19
"74","NS500302:312:HJHHTBGX5:3:22507:4835:9228_1:647498",8.8e-19
"75","NS500302:312:HJHHTBGX5:4:12601:11689:1849_1:767435",8.8e-19
"76","NS500302:312:HJHHTBGX5:4:13412:5664:13908_1:792971",8.8e-19
"77","NS500302:312:HJHHTBGX5:4:13505:11991:9863_1:798044",8.8e-19
"78","NS500302:312:HJHHTBGX5:4:13604:1484:8542_1:809644",8.8e-19
"79","NS500302:312:HJHHTBGX5:4:22404:15173:19166_1:861358",8.8e-19
"80","NS500302:312:HJHHTBGX5:4:23606:5654:6352_1:928595",8.8e-19
"81","NS500302:312:HJHHTBGX5:1:12109:24598:3357_1:49094",9.2e-19
"82","NS500302:312:HJHHTBGX5:1:21305:6896:15559_1:153139",9.2e-19
"83","NS500302:312:HJHHTBGX5:2:12204:8654:6909_1:298442",9.2e-19
"84","NS500302:312:HJHHTBGX5:3:11611:14108:16937_1:518882",9.2e-19
"85","NS500302:312:HJHHTBGX5:3:22405:17992:8651_1:633290",9.2e-19
"86","NS500302:312:HJHHTBGX5:4:22408:25464:7399_1:865198",9.2e-19
"87","NS500302:312:HJHHTBGX5:3:12608:26364:12822_1:552125",9.7e-19
"88","NS500302:312:HJHHTBGX5:2:12103:19418:8542_1:284396",1.3e-18
"89","NS500302:312:HJHHTBGX5:1:11103:3823:10967_1:2921",2e-18
"90","NS500302:312:HJHHTBGX5:1:12108:18480:16988_1:48734",2e-18
"91","NS500302:312:HJHHTBGX5:1:12111:12457:3044_1:51127",2e-18
"92","NS500302:312:HJHHTBGX5:1:21308:21609:3107_1:155609",2e-18
"93","NS500302:312:HJHHTBGX5:1:22101:19499:2975_1:160908",2e-18
"94","NS500302:312:HJHHTBGX5:1:22203:11352:2232_1:176980",2e-18
"95","NS500302:312:HJHHTBGX5:1:23102:14829:16235_1:203115",2e-18
"96","NS500302:312:HJHHTBGX5:2:21205:19514:12217_1:381519",2e-18
"97","NS500302:312:HJHHTBGX5:2:21209:13394:13289_1:386234",2e-18
"98","NS500302:312:HJHHTBGX5:2:22205:2651:12394_1:421831",2e-18
"99","NS500302:312:HJHHTBGX5:3:11507:2231:15199_1:502593",2e-18
"100","NS500302:312:HJHHTBGX5:3:11511:20813:18572_1:506907",2e-18
"101","NS500302:312:HJHHTBGX5:3:23509:19719:14004_1:686886",2e-18
"102","NS500302:312:HJHHTBGX5:4:22412:2603:7693_1:869721",2e-18
"103","NS500302:312:HJHHTBGX5:4:23512:14375:11010_1:922902",2e-18
"104","NS500302:312:HJHHTBGX5:1:21311:7127:14283_1:159352",2.3e-18
"105","NS500302:312:HJHHTBGX5:3:12510:6820:10339_1:541719",2.7e-18
"106","NS500302:312:HJHHTBGX5:2:22202:8098:1983_1:418026",2.7e-18
"107","NS500302:312:HJHHTBGX5:4:12602:19538:17983_1:769331",2.9e-18
"108","NS500302:312:HJHHTBGX5:3:11510:15062:14704_1:505677",2.9e-18
"109","NS500302:312:HJHHTBGX5:3:13611:3120:12895_1:591362",3.6e-18
"110","NS500302:312:HJHHTBGX5:2:12308:7400:7499_1:316562",3.9e-18
"111","NS500302:312:HJHHTBGX5:1:12304:5149:2401_1:70236",5.6e-18
"112","NS500302:312:HJHHTBGX5:2:12207:6633:15807_1:302174",6e-18
"113","NS500302:312:HJHHTBGX5:1:23208:24580:6150_1:222700",6.8e-18
"114","NS500302:312:HJHHTBGX5:1:11303:26150:5053_1:29432",7e-18
"115","NS500302:312:HJHHTBGX5:1:23302:12158:16669_1:229879",7.4e-18
"116","NS500302:312:HJHHTBGX5:4:21512:25363:6351_1:844141",7.9e-18
"117","NS500302:312:HJHHTBGX5:1:11307:10932:1118_1:33423",8.2e-18
"118","NS500302:312:HJHHTBGX5:3:22509:6203:19815_1:650187",8.5e-18
"119","NS500302:312:HJHHTBGX5:1:11110:23194:9913_1:10850",8.7e-18
"120","NS500302:312:HJHHTBGX5:1:13104:7981:15188_1:84453",8.7e-18
"121","NS500302:312:HJHHTBGX5:3:12505:5988:17078_1:536942",8.7e-18
"122","NS500302:312:HJHHTBGX5:3:13604:17797:12591_1:584275",8.7e-18
"123","NS500302:312:HJHHTBGX5:1:13304:17370:2419_1:110577",1e-17
"124","NS500302:312:HJHHTBGX5:3:13510:8347:14889_1:578431",1e-17
"125","NS500302:312:HJHHTBGX5:3:21406:4910:4297_1:597838",1e-17
"126","NS500302:312:HJHHTBGX5:4:22607:23521:8462_1:890465",1e-17
"127","NS500302:312:HJHHTBGX5:4:23607:18609:8814_1:929691",1e-17
"128","NS500302:312:HJHHTBGX5:2:22203:14263:2985_1:419171",1e-17
"129","NS500302:312:HJHHTBGX5:1:13302:5746:14368_1:109076",1.1e-17
"130","NS500302:312:HJHHTBGX5:2:22305:8528:2037_1:434332",1.1e-17
"131","NS500302:312:HJHHTBGX5:3:22406:16423:3179_1:633963",1.1e-17
"132","NS500302:312:HJHHTBGX5:1:11110:17750:7041_1:10652",1.2e-17
"133","NS500302:312:HJHHTBGX5:1:12301:12530:8288_1:67253",1.2e-17
"134","NS500302:312:HJHHTBGX5:1:13103:22187:10603_1:82936",1.2e-17
"135","NS500302:312:HJHHTBGX5:1:21108:24596:4018_1:128504",1.2e-17
"136","NS500302:312:HJHHTBGX5:1:21204:13507:14051_1:138273",1.2e-17
"137","NS500302:312:HJHHTBGX5:1:22101:9550:11852_1:161464",1.2e-17
"138","NS500302:312:HJHHTBGX5:1:23202:20779:10166_1:216227",1.2e-17
"139","NS500302:312:HJHHTBGX5:2:11103:4700:14699_1:243801",1.2e-17
"140","NS500302:312:HJHHTBGX5:2:12105:10646:6111_1:286671",1.2e-17
"141","NS500302:312:HJHHTBGX5:2:13309:12365:9798_1:357876",1.2e-17
"142","NS500302:312:HJHHTBGX5:2:22102:21748:8510_1:405595",1.2e-17
"143","NS500302:312:HJHHTBGX5:2:22305:23134:5385_1:434538",1.2e-17
"144","NS500302:312:HJHHTBGX5:2:23212:3723:14548_1:469792",1.2e-17
"145","NS500302:312:HJHHTBGX5:3:11410:3486:16331_1:493434",1.2e-17
"146","NS500302:312:HJHHTBGX5:3:11603:21844:12878_1:510735",1.2e-17
"147","NS500302:312:HJHHTBGX5:3:13601:12663:18197_1:581431",1.2e-17
"148","NS500302:312:HJHHTBGX5:3:22502:22330:19344_1:642846",1.2e-17
"149","NS500302:312:HJHHTBGX5:3:23403:2809:3568_1:668288",1.2e-17
"150","NS500302:312:HJHHTBGX5:3:23408:7498:18765_1:673894",1.2e-17
"151","NS500302:312:HJHHTBGX5:4:11404:22219:9805_1:705971",1.2e-17
"152","NS500302:312:HJHHTBGX5:4:11408:22906:17466_1:710940",1.2e-17
"153","NS500302:312:HJHHTBGX5:4:13503:4248:9295_1:795994",1.2e-17
"154","NS500302:312:HJHHTBGX5:4:21410:25774:7823_1:828536",1.2e-17
"155","NS500302:312:HJHHTBGX5:4:22409:3665:12427_1:866619",1.2e-17
"156","NS500302:312:HJHHTBGX5:4:23610:21107:10364_1:932804",1.2e-17
"157","NS500302:312:HJHHTBGX5:4:11510:5143:15835_1:726419",1.2e-17
